Question,Golden reponse
formation chien de troupeau formule cours privés extérieurs ,"Les établissements des secteurs économiques suivants pourront rouvrir :
*   l’ensemble des secteurs de l’industrie de la construction;
*   les commerces de détail (établissements avec un accès extérieur habituellement utilisé par la clientèle) ainsi que leur chaîne d’approvisionnement;
*   les entreprises du secteur manufacturier.
Pour connaître les dates et modalités encadrant ces réouvertures, consultez la page [Reprise graduelle des activités en lien avec les mesures de ralentissement de la C [...]",0.287
combien de temps de convalescence,"Les employeurs sont invités à faire preuve de souplesse dans les horaires de travail de leur personnel, de façon, par exemple, à limiter les foules présentes dans le transport en commun aux heures de pointe.
Dans l’objectif d’éviter d’engorger les hôpitaux, le gouvernement du Québec demande aux employeurs de ne pas demander de billets de médecin à leur personnel devant se placer en isolement.
Lorsque possible, les employeurs sont également invités à favoriser le télétravail.",0.253
comment puis-je fabriquer un masque?,"Le port du couvre-visage est recommandé dans les lieux publics lorsque la distanciation physique n'est pas possible. Cela peut se produire, par exemple, en se rendant à l’épicerie ou en prenant le transport en commun. Le port du couvre-visage dans les lieux publics doit obligatoirement s’accompagner des autres mesures de protection, comme l’application des mesures d’hygiène et de distanciation physique. Pour en savoir plus, consultez la section [Consignes sanitaire pour tous](https://www.quebec. [...]",0.599
est-ce que les animaux peuvent nous transmettre la maladie?,Il n’existe actuellement aucune preuve suggérant que la nourriture est une source ou une voie probable de transmission de la COVID-19. Le lavage usuel des fruits et légumes et l’application des bonnes pratiques de préparation d’aliments sont toujours recommandés.,0.398
tout est fermé et je n'ai pas d'argent pour me nourrir,"Pour l’instant, il n’y a pas de programme prévu pour le remboursement des programmes de voyage à l’étranger. Chacun doit voir avec son agence de voyages ou son assurance voyage.",0.164
suis je obligé d’envoyer mon enfant à l’école ,"**Réseau scolaire, public et privé**
Les établissements préscolaires et primaires reprendront graduellement leurs activités à compter du 11 mai dans l’ensemble des régions du Québec, à l’exception des écoles situées sur le territoire de la [Communauté métropolitaine de Montréal (CMM)](https://cmm.qc.ca/a-propos/territoires-et-municipalites/) , qui ouvriront le 19 mai, si la situation sanitaire le permet. Le retour en classe se fera sur une base volontaire.
Les écoles secondaires resteront fermée [...]",0.301
est-ce que les déplacements entre les villes sont permis,"Les services de transport en commun demeurent opérationnels et représentent un service essentiel pour permettre, notamment, au personnel du réseau de la santé et des services sociaux de se déplacer.
Les sociétés de transport du Québec ont accentué la fréquence de l’entretien de leurs véhicules et installations.
Les usagers sont tout de même invités à appliquer les consignes sanitaires habituelles et à conserver, dans la mesure du possible, une distance de deux mètres avec les autres personnes pr [...]",0.537
qu'arrive-t-il aux personnes qui décèdent? ,Les établissements de santé tolèrent les visites en cas de situations exceptionnelles ou humanitaires. Le gouvernement du Québec interdit les visites non essentielles.,0.25
retour au travail,"Les employeurs sont invités à faire preuve de souplesse dans les horaires de travail de leur personnel, de façon, par exemple, à limiter les foules présentes dans le transport en commun aux heures de pointe.
Dans l’objectif d’éviter d’engorger les hôpitaux, le gouvernement du Québec demande aux employeurs de ne pas demander de billets de médecin à leur personnel devant se placer en isolement.
Lorsque possible, les employeurs sont également invités à favoriser le télétravail.",0.533
où je peux aller me faire dépister ,"Depuis le 13 mars 2020, les visites dans les CHSLD sont interdites afin de protéger les personnes les plus vulnérables ainsi que les travailleuses et travailleurs du réseau de la santé et des services sociaux, sauf pour des raisons humanitaires.
Ainsi, dans le cas de la fin de vie imminente, la présence d’une ou deux personnes significatives auprès de la personne est permise.",0.305
dois-je aller à l'hôpital si j'ai des symptômes?,"Depuis le 13 mars 2020, les visites dans les CHSLD sont interdites afin de protéger les personnes les plus vulnérables ainsi que les travailleuses et travailleurs du réseau de la santé et des services sociaux, sauf pour des raisons humanitaires.
Ainsi, dans le cas de la fin de vie imminente, la présence d’une ou deux personnes significatives auprès de la personne est permise.",0.269
"je travaille avec des patients covid, est ce quej'ai le droit d'avoir des primes","Les établissements des secteurs économiques suivants pourront rouvrir :
*   l’ensemble des secteurs de l’industrie de la construction;
*   les commerces de détail (établissements avec un accès extérieur habituellement utilisé par la clientèle) ainsi que leur chaîne d’approvisionnement;
*   les entreprises du secteur manufacturier.
Pour connaître les dates et modalités encadrant ces réouvertures, consultez la page [Reprise graduelle des activités en lien avec les mesures de ralentissement de la C [...]",0.16
les gyms ouvrent quand,"Les commerces de détail ayant une entrée extérieure habituellement utilisée par la clientèle pourront rouvrir.
La date de réouverture pour les commerces situés à l’extérieur de la communauté métropolitaine de Montréal est le **lundi 4 mai 2020**.
Pour les commerces de la communauté métropolitaine de Montréal, la date de réouverture est le **lundi 25 mai 2020**.
Les commerces qui n’ont pas d’entrée extérieure habituellement utilisée par la clientèle doivent rester fermés jusqu’à nouvel ordre.
Pou [...]",0.242
"bonjour, les cimetières sont-ils accessibles à montréal?","Concernant les **lieux de cultes**, tous les rassemblements religieux de quelque confession que ce soit devront idéalement être suspendus, à moins d'être essentiels. Dans ce cas, la distanciation physique devra être observée.",0.172
est-ce que le père des enfants peut aller faire une commission à montréal? il réside en estrie.,"80 % des personnes infectées guérissent sans traitement particulier.
Il existe des groupes de personnes à risque de décéder à la suite des complications respiratoires graves si elles sont infectées par le coronavirus. Il pourrait s’agir d’une pneumonie ou d’un syndrome respiratoire aigu.
**Les personnes infectées au coronavirus (COVID-19) à risque de décès sont :**
*   les personnes âgées de 70 ans et plus;
*   les personnes avec les conditions suivantes :
    *   maladies chroniques cardiaques; [...]",0.21
est-ce qu'on peut se réunir en famille ? ,Les établissements de santé tolèrent les visites en cas de situations exceptionnelles ou humanitaires. Le gouvernement du Québec interdit les visites non essentielles.,0.146
est-ce-que les restaurants vont ouvrir sous peu?,"Les établissements des secteurs économiques suivants pourront rouvrir :
*   l’ensemble des secteurs de l’industrie de la construction;
*   les commerces de détail (établissements avec un accès extérieur habituellement utilisé par la clientèle) ainsi que leur chaîne d’approvisionnement;
*   les entreprises du secteur manufacturier.
Pour connaître les dates et modalités encadrant ces réouvertures, consultez la page [Reprise graduelle des activités en lien avec les mesures de ralentissement de la C [...]",0.252
puis-je recevoir ma famille à la maison?,"Il est possible d’aller livrer de l’épicerie à une personne âgée ou une personne ayant un système immunitaire affaibli uniquement si vous ne présentez aucun symptôme et ne revenez pas de voyage depuis moins de 14 jours. En tout temps, il importe de conserver une distance entre les personnes, d’éviter les contacts directs et de respecter les règles d’hygiène habituelles lorsque vous toussez ou éternuez.",0.769
cours d’obéissance canin formule privée ,"**Réseau scolaire, public et privé**
Les établissements préscolaires et primaires reprennent graduellement leurs activités dans l’ensemble des régions du Québec, à l’exception des écoles situées sur le territoire de la [Communauté métropolitaine de Montréal (CMM)](https://cmm.qc.ca/a-propos/territoires-et-municipalites/) , qui restent fermées pour les élèves jusqu'à la fin août. Les exceptions visant le territoire de la Communauté métropolitaine de Montréal s'appliquent aussi au territoire de la [...]",0.145
est-ce que mes amis peuvent venir à la maison,"Il est possible d’aller livrer de l’épicerie à une personne âgée ou une personne ayant un système immunitaire affaibli uniquement si vous ne présentez aucun symptôme et ne revenez pas de voyage depuis moins de 14 jours. En tout temps, il importe de conserver une distance entre les personnes, d’éviter les contacts directs et de respecter les règles d’hygiène habituelles lorsque vous toussez ou éternuez.",0.179
